Website,Job Title,Category,Company,Date Posted,Location,Status,Education,Job Description,Min Salary,Max Salary,Min Years of Work Experience,Max Years of Work Experience,Field
Pinoy Jobs,Civil Engineer,"Jobs in Engineering, Construction & Electrical","D.M. Consunji, Inc.",2015-07-07,Makati City,Full Time,Not Specified,"– Candidate must possess at least a Professional License (Passed Board/Professional Licensure Exam), Engineering (Civil) or equivalent– Knowledge in Construction, Operations, High rise and Infrastructure is advantageous– Project deployment could be from building construction, infrastructure, water works, ready mixed batching plant and power plant construction– Fresh graduates are encouraged to apply",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Pinoy Jobs,Research Engineer,"Jobs in Engineering, Construction & Electrical",Ruel B. Ramirez & Associates,2015-07-07,Quezon City,Full Time,Bachelor's Degree,BE PART OF OUR GROWING FAMILYRBRA is in need of RESEARCH ENGINEERS with the following qualifications•Bachelor’s Degree in Civil Engineering•With good written communication skills•Willing to do research works•Fresh graduates are welcome to apply•Proficient in MS Office ApplicationThis job will be mainly responsible in leading the research and development of the company.This will spearhead research projects and new material testing and evaluate the effectiveness of the method and materials.,Negotiable,Negotiable,Not Specified,Not Specified,Engineering
Pinoy Jobs,QUALITY CONTROL & QUALITY,"Jobs in Engineering, Construction & Electrical","LOXON PHILIPPINES, INC.",2015-07-04,Pasig City,Full Time,Not Specified," Mechanical/Electrical/Electronics Engineering graduate, preferably with license-must be willing to work in a project/construction site setting– must be female & singleDUTIES & RESPONSIBILITIES:1. Prepares work report on all inspected and completed installation2. Ensures that the correct methods on installations are being implemented to minimize re-work on completed works3. Coordinates with field engineers and foremen regarding punchlisted items from project inspectors4. Attends project technical coordination meetings5. Prepares cost estimate/quantity take off for additional works6. Ensures that completed works are in accordance with the plans and specifications7. Assists and informs Project in Charge aspects of work when there are punchlist itemsedit jobclose jobViews: 237Candidates: 27Status: Open – pauseCreated: 9 JunView public job pagePromote this job for more candidates:Tweet",Not Specified,Not Specified,9,9,Engineering
Pinoy Jobs,Project Manager,"Jobs in Engineering, Construction & Electrical",Saint Mark Construction Supply,2015-07-02,Quezon City,Full Time,Not Specified,"Requirements:Must have an Engineering or Architectural backgroundBetween 25 – 35 years of ageWilling to work in Balintawak area Job Description:Prepares quotations for new and existing clients for their projects.Oversees ongoing projects. Updates clients and the Company with regards to their statuses.Resolves customer complaints by investigating problems, suggesting solutions, and preparing reports.Contributes to team effort by accomplishing related results as needed.For more information about the Company and its products, visit: http://graniteandmarblesupplies.com",Not Specified,Not Specified,35,35,Engineering
Pinoy Jobs,Sales Engineer,"Jobs in Engineering, Construction & Electrical",Rescon International,2015-06-30,"2F Ags Building, 446 EDSA Guadalupe Viejo Makati",Full Time,Bachelor's Degree,"Job Duties and ResponsibilitiesReview customer specifications and prepare comprehensive professional proposals.Handle customer telephone inquiriesInterface with outside vendors solicit quotes for equipmentEffectively process orders and manage any issues arise.Act as a liaison between operations and the customerParticipate in sales calls with SE as part of the development processProvide technical support to customers on issues.Attends pre-award meetings or technical discussion as required.Effectively communicates with SE’s on account by account statusActively participates in discussion on pricing strategies with SEDevelop effective rapport with customer contacts.Develop existing accounts for maximum penetration.Create ‘trust’ with the customer and follow through on all commitments. Make things happen to satisfy customers.Provide competitive product, commercial and market feedback to the Company.Develop relationships at all key accounts.Promote Plant Performance Service initiative.Assist service technicians on field servicesReview customer specifications and prepare comprehensive professional proposals.Prepares technical and commercial proposal for BU4.Follow up proposals/quotations with clients.Visits and submits proposal with clients.Conducts site service inspections.Conduct and supervise product installation, testing and commissioningConduct product presentation.Conduct sales callsConduct delivery inspectionsProduct sourcingJob QualificationCandidate must possess at least a Bachelor’s/College Degree , Engineering (Electrical/Electronic), Engineering (Mechanical), Engineering (Mechatronic/Electromechanical) or equivalent.Required skill(s): communication skill, analytical, inter personal skill, computer literate.Required language(s): English, FilipinoAt least 2 year(s) of working experience in the related field is required for this position.Applicants must be willing to work in Makati.Preferably 1-4 Yrs Experienced Employees specializing in Sales – Engineering/Technical or equivalent.2 Full-Time position(s) available.",20000,25000,1,4,Engineering
Pinoy Jobs,Project Planner/Scheduler,"Jobs in Engineering, Construction & Electrical",SEGI POWER GROUP CORPORATION PHILS.,2015-06-29,Makati City,Full Time,Not Specified,"1. Establish the plan and document scope, develop project schedules and or preliminary cost estimates.2. Create a detailed work plan which identifies and sequences the activities needed to successfully develop and complete the project.3. Maintain liaison with management regarding project planning by conducting analyses and preparing reports.4. Prepares project budgets and cost estimates, schedules and coordinates resources and tasks to complete projects on approved budget.5. Coordinates the review of estimated design costs including equipment, installation, labour, materials, preparations, and other related costs.6. Coordinates projects with all affected parties to ensure projects are completed on schedule and government regulations, and health and safety requirements are maintained.7. Make presentations to senior management and clients as required.8. Participates in the development of timetables and schedules for projects.9. Attend project start-up meetings.10. Ensure the maintenance of all essential documentation.11. Performs other tasks that maybe assigned from time to time.",30000,30000 Php,Not Specified,Not Specified,Engineering
Pinoy Jobs,Project Coordinator,"Jobs in Engineering, Construction & Electrical",STX Corporation / System 10 Alarms,2015-06-23,Muntinlupa City,Full Time,Not Specified,Project Coordinator performs inspections and meeting on site. Job is combination of field and office work. Must be hard working and can work under minimal supervision and pressure.,To be discuss,To be discuss,Not Specified,Not Specified,Engineering
Pinoy Jobs,Quantity Surveyor,"Jobs in Engineering, Construction & Electrical",Quadcore Construction,2015-06-18,Pasig City,Full Time,Bachelor's Degree,"-Prepare and/or coordinate the preparation of full cost estimates on conceptual, design-build or general tender work.-Review proposal specifications and drawings to determine scope of work and require contents of estimate.-Prepare discipline estimates by calculating complete takeoff of scope of work.-Maintain files of working documents as back-up for estimate figures, including current(accurate) information on prices from suppliers through direct contact, sales brochures,price lists, etc.-Support other department personnel as required may include preparing estimates in other disciplines.-May review design options and recommend best solution based on cost, engineering quality, or availability of materials.-Perform additional assignments per supervisor’s direction.-Candidate must possess at least a Bachelor’s/College Degree , Engineering (Civil) or equivalent.-Required skill(s): MS Office, AutoCad.-At least 2 year(s) of working experience in the related field is required for this position.-Preferably 1-4 Yrs Experienced Employees specializing in Engineering Civil/Construction/Structural or equivalent.","14,000-20,000","14,000-20,000",1,4,Engineering
Pinoy Jobs,Office Engineer,"Jobs in Engineering, Construction & Electrical",Quadcore Construction,2015-06-18,Pasig City,Full Time,Not Specified,"-Supervise office staff for all administrative works that include processing and reviewing of progress payments for contractors.-Coordinate, review and assess contract submittals.-Administer contractor’s work and ensure compliance with submitted contract documents.-Analyze and recommend changes to contracts and prepare necessary amendments in contract document.-Prepare correspondence and documents related to assigned projects and facilitate in internal RTD scanning and archiving in line with closet procedure.-Provide assistance to project manager and supervise office engineering construction.-Prepare project records with details such as field progress, field conditions, equipment use and corrective actions.-Prepare monthly report on progress of assigned project with assistance of schedules, costs spreadsheets and perform analysis on same.-Perform other tasks that may be assigned from time to time.","16,000-18,000","16,000-18,000",Not Specified,Not Specified,Engineering
Pinoy Jobs,Civil Engineers for Project Site,"Jobs in Engineering, Construction & Electrical",Imperial Homes Corporation,2015-06-17,Muntinlupa City,Full Time,Not Specified,"Requirements/Qualifications:Graduate of Civil Engineering or Architecture are preferred but those with equivalent experience will be evaluatedMale, 23-37 years oldWith or Without Civil Engineering/Architecture LicenseWith At least solid 2 to 5 years working experience in Mass Housing Project/ ConstructionKnowledgeable in Cost Estimation, Project Management and Building Code (HLURB Requirements will be an advantage)Proficient in Microsoft Office, Autocad, Microsoft Project or equivalent.Versatile, multi-task oriented and has initiative to make decision concerning safety and quality of worksA valid Driver’s ID license will be an advantage but not requiredWith high sense of integrityCan work independentlyWilling to work in Cabanatuan, Cavite and Batangas areasCan start immediatelyYou may walk in at our office from Mondays-Fridays at 9am-3pm, located at 12th floor, Unit 1202 Alabang Business Tower Bldg., Acacia Ave. Madrigal Business Park, Ayala Alabang Muntinlupa City.Along Isuzu Alabang and Kingston Tower Bldg. In front of Page 1 Bldg. THIS IS FOR 1 DAY PROCESS ONLY!!!! APPLY NOW!!!",Not Specified,Not Specified,2,5,Engineering
Pinoy Jobs,Quantity Surveyor,"Jobs in Engineering, Construction & Electrical",ERAM Consulting Engineers,2015-06-16,Cebu City,Full Time,Not Specified,"JOB DESCRIPTIONManages all costs relating to building and civil engineering projects, from the initial calculations to the final figures.Minimise the costs of a project and enhance value for money, while still achieving the required standards and quality.May work for either the client or the contractor, working in an office or on site. They are involved in a project from the start, preparing estimates and costs of the work.REQUIREMENTS:Preferable knowledge/experience of the civil engineering industry with a reasonable degree of contruction industry experience.With a minimum of 5 years civil engineering experience working for main contractor or subcontractor.An excellent understanding of construction methods and materials.Excellent communication skills, both written and verbal.Excellent negotiation abilities.The ability to work effectively as part of a team.Ability to communicate confidently with all levels of personnel.Good organisational skills and the ability to prioritize.A commitment to the job and a willingness to work long hours.Click here for us to retrieve your personal information and Resumes or CVs.",10000,20000,5,5,Engineering
Pinoy Jobs,Accounts/Records Assistant,"Jobs in Engineering, Construction & Electrical","Homemark, Inc.",2015-06-16,Quezon City,Full Time,Not Specified,"For immediate hiring.Must have at least one (1) year experience in records and documents keeping; analytical and keen on details; prudent in handling confidential and important matters; preferably female, not more than 35 years old; must have business, finance or accounting background; willing to work in Quezon Ave., Quezon City","Php. 15,000.00 - 18,000.00","Php. 15,000.00 - 18,000.00",1,1,Engineering
Pinoy Jobs,Sales & Application Electrical Engineers,"Jobs in Engineering, Construction & Electrical",Jervis Electric Corporation,2015-06-16,Cavite,Full Time,Not Specified,To All New EE GraduateMale or FemalePreferably residing within Cavite areawith or without License,To be determine after interview,To be determine after interview,Not Specified,Not Specified,Engineering
Pinoy Jobs,ELECTRICIANS,"Jobs in Engineering, Construction & Electrical",Cleanmatic Manpower Services,2015-06-16,Manila City,Full Time,Not Specified,Male.Not more than 35 years old.With 1 year relevant experience.Vocational graduate of Electronics or equivalent.3 full time positions available.Can start ASAP.,Not Specified,Not Specified,1,1,Engineering
Pinoy Jobs,Caretaker of Model House,"Jobs in Engineering, Construction & Electrical","Homemark, Inc.",2015-06-15,Cavite,Full Time,Not Specified,"for immediate hiring.Undergraduate; knows house keeping and can maintain the up keep of model houses; willing to work in Imus or Tanza, Cavite; preferably female",Imus rate with government-mandated benefits,Imus rate with government-mandated benefits,Not Specified,Not Specified,Engineering
Pinoy Jobs,QA/QC Engineer,"Jobs in Engineering, Construction & Electrical",HLC Group,2015-06-11,Davao City,Full Time,Not Specified,A licensed Civil EngineerMinimum 3-4 years experience as QA/QCExperience in Real Estate Development and Housing,Not Specified,Not Specified,3,4,Engineering
Pinoy Jobs,Project Engineer,"Jobs in Engineering, Construction & Electrical",HLC Group,2015-06-11,Davao City,Full Time,Not Specified,A Licensed Civil EngineerAt least five (5) years experience as Project EngineerHandled big projects for both Horizontal and VerticalExperience in Housing and Real Estate Development,Negotiable,Negotiable,Not Specified,Not Specified,Engineering
Pinoy Jobs,Electrical Engineer,"Jobs in Engineering, Construction & Electrical",Comm Trend Construction Corporation,2015-06-10,Malabon City,Full Time,Bachelor's Degree,– Candidate must have a Bachelor’s Degree in Electrical Engineering– Fresh graduates are welcome to apply– with good communication skills– willing to travel– 2 vacant positions available,Not Specified,Not Specified,2,2,Engineering
Pinoy Jobs,OJT – Engineering Students,"Jobs in Engineering, Construction & Electrical",Comm Trend Construction Corporation,2015-06-09,Malabon City,Full Time,Bachelor's Degree,We are looking for OJT-Engineering Students– candidate must be currently pursuing a Bachelor’s Degree in Electronic Engineering or other related courses– knowledgeable in autocad and documentation– must be initiative and eager to learn– have good communication skills– willing to be assigned in Malabon Citymale/female4 vacant position availbale,Not Specified,Not Specified,4,4,Engineering
Pinoy Jobs,Welder,"Jobs in Engineering, Construction & Electrical",Central Luzon Doctors' Hospital,2015-06-09,Tarlac City,Full Time,Not Specified,-must have a high school vocation-technical program or a post-secondary diploma program at a trade school.,Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Pinoy Jobs,AutoCAD Draftsman,"Jobs in Engineering, Construction & Electrical",Facade Advertising,2015-06-08,Quezon City,Full Time,Not Specified,"Job Specification•Graduate of Architecture, NOT necessarily licensed•Fresh Graduates/Entry level applicants are encouraged to apply•Proficient in AutoCad, Photoshop, Corel Draw, & MS Office applications•Knows how to do CAD drawings for elevations, sections, electrical layout, plumbing layout, mechanical layout•Highly analytical, with strong conceptual skills & result-oriented•Can work in a fast-paced & collaborative team environment under pressure",Negotiable,Negotiable,Not Specified,Not Specified,Engineering
Pinoy Jobs,Architect / Architectural Apprentice,"Jobs in Engineering, Construction & Electrical",LG Architects,2015-06-05,Cebu City,Full Time,Bachelor's Degree,"LG Architects are looking for Architects and apprentices able to do basic planning and design with knowledge on Sketchup and willing to learn new software.Job DescriptionTitle: Architectural Apprentice / DesignerJob type: Full TimeBased at: 380 Jones Avenue, Cebu City, PhilippinesScope of work: Planning and designComputer Skills: Well versed in basic level of Internet and email. Adept in use of autocad and photoshop.Educational attainment: BS Architecture Graduate.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Pinoy Jobs,"Painter,Carpenter,Mason","Jobs in Engineering, Construction & Electrical","Sunrise Search & Support,Inc",2015-06-04,Pasig City,Full Time,Not Specified,1 year experience20 – 45 years oldWilling to be assigned at Makati area,481.00,481.00,45,45,Engineering
Pinoy Jobs,Electro-mechanic Technician,"Jobs in Engineering, Construction & Electrical",CDC HOLDINGS INC.,2015-06-03,Makati City,Contract,Not Specified,"•Candidate must possess at least a Vocational Diploma / Short Course Certificate or in (Mechanical), (Electrical) or equivalent.•Required language(s): English, Filipino•Male; 23-45 y.o.•At least 1-2 year(s) of working experience in the related field is required for this position.•Preferably 1-4 Yrs & Up Experienced Employees specializing in Maintenance/Repair (Facilities & Machinery) or equivalent. Job role in Building/Facilities Maintenance or Machinery Maintenance.•For Contractual base of Employment.•Willing to work in Makati, Manila or Ortigas area.","Php12,546.46 to Php15,000.00","Php12,546.46 to Php15,000.00",1,2,Engineering
Pinoy Jobs,Safety Practitioner,"Jobs in Engineering, Construction & Electrical","FGU Builders, Inc.",2015-06-02,Marikina City,Full Time,Not Specified,"Our company is currently looking for a Safety Practitioner (DOLE-COSH Accredited) for our construction sites located in various areas in NCR. If you are interested, we would be glad to hear from you. Thank you. ",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Pinoy Jobs,Mechanical Engineer,"Jobs in Engineering, Construction & Electrical",USHIO Philippines Inc.,2015-05-26,Cavite,Full Time,Not Specified,QUALIFICATIONS:* Male* Not more than 30 years old* Registered Mechanical Engineer* With at least two (2) years’ experience as Maintenance Staff / Engineer,Confidential,Confidential,30,30,Engineering
Pinoy Jobs,Engineering and Maintenance Staff,"Jobs in Engineering, Construction & Electrical",USHIO Philippines Inc.,2015-05-26,Cavite,Full Time,Not Specified,"QUALIFICATIONS:* Male* Not more than 30 years old* Graduate of Mechanical / Electrical Engineering* If graduate of Technical course, must have at least one (1) year experience as Facility / Maintenance Staff* Must be able to communicate in all levels of organization* Experience as an Air Condition Technician is an advantage",Confidential,Confidential,30,30,Engineering
Pinoy Jobs,Project Engineer – Davao,"Jobs in Engineering, Construction & Electrical","SEA OLYMPUS MARKETING, INC. – Mindanao",2015-05-26,Davao City,Full Time,Bachelor's Degree,"Responsibilities:• Draw customer’s lay-out using Auto-Cad• Draw project specifications file using Corel Draw• Do design framing if there are no existing project designs• Do costing of projects for quotation purposes/Provide Bill of Materials• Do site visit to get actual dimensions of the area for projects (sunshield)• Coordinate with sales executives and/or client regarding on site concerns or recommendations• Issue JO to formally start/load a project• Issue waiver, if necessary, when recommendations are not followed• Provide variation report (quoted area vs. actual area) when needed• Visit fabrication area for quality control• Coordinate with different personnel for the delivery and release of items• Oversee the installation of products• Do site inspections for final quality control• Monitor daily on-going activities for site inspection/production and installation• Provide project updates to sales, project coordinator and to client.• Assist sales in answering all technical queriesAssist Project Manager in all ad hoc dutiesRequirements: Candidate must possess at least a Bachelor’s/College Degree , Engineering (Chemical), Engineering (Civil), Engineering (Industrial) or equivalent. At least 2 year(s) of working experience in the related field is required for this position. Applicants must be willing to work anywhere in Mindanao (based in Davao). Preferably Supervisor / 5 Yrs & Up Experienced Employees specializing in Engineering – Civil/Construction/Structural or equivalent. 1 Full-Time position(s) available.",Not Specified,Not Specified,2,2,Engineering
Pinoy Jobs,Project Scheduler,"Jobs in Engineering, Construction & Electrical",Glazetech Glass & Aluminum Installation,2015-05-26,Global City,Full Time,Not Specified,"Basic Requirements:1. PC proficient (Microsoft Windows, Internet Explorer and Microsoft Office including Excel, Word, PowerPoint, Outlook)2. Good written and verbal communications skills3. Ability to work in a fast-paced environment and multi-task4. Good time management and organizational skills5. Ability to identifies and resolve issues with a sense of urgency6. Detail oriented7. Ability to work as part of a team or independently8.1-5 years of work related experience","20,000.00","20,000.00",1,5,Engineering
Pinoy Jobs,Purchasing /Invty. Staff – Mandaluyong City,"Jobs in Engineering, Construction & Electrical",ECO-SYSTEM TECHNOLOGIES INC,2015-05-26,Mandaluyong City,Full Time,Not Specified,"> Female, not more than 35 yrs. old> Graduate of any 4 yr course in Business Administration, Engineering, Accounting> With experience in doing canvassing, and procurement procedure. With good moral character",negotiable,negotiable,4,4,Engineering
Pinoy Jobs,Auto Cad Operator,"Jobs in Engineering, Construction & Electrical",Glazetech Glass & Aluminum Installation,2015-05-26,Global City,Full Time,Not Specified,"Qualification1. Graduate of any Engineering Course/advantage Industrial Engineering2. At least 2-3 year working experience in related field3. Required skills: Adobe photo shop, Auto cad, Sketch up4. Applicants must be willing to work in Bonifacio Global City, The Fort, Taguig City.5. Male / Female not more than 35 years old6. can start immediately",15000,"15,000",2,3,Engineering
Pinoy Jobs,QUANTIFIER (AREA SURVEYOR),"Jobs in Engineering, Construction & Electrical","Phil ExeQsearch Solutions, Inc.",2015-05-26,Quezon City,Full Time,Bachelor's Degree,•Male•Not older than 30 years old•At least graduate or undergraduate of BS Architecture•With at least 1-2 years experience in the same field•Can start as soon as possible•Willing to work in Quezon City,Not Specified,Not Specified,1,2,Engineering
Pinoy Jobs,SALES ENGINEERS,"Jobs in Engineering, Construction & Electrical",ORCA Applied Engineering Solutions Corp.,2015-05-25,Bacoor City,Full Time,Bachelor's Degree,"We are looking for young, dynamic individuals who shall significantly contribute to our company’s growth through their extensive technical knowledge as well as competent skills in client relations.Qualifications:– Male or Female– Not more than 25 yrs old– Graduate of BS Chemical Engineering, Civil Engineering or related degree, FRESH GRADUATES may apply– Preferably residing within Bacoor City/Imus City, CaviteWe offer attractive compensation package to qualified applicants.",25000,25000,Not Specified,Not Specified,Engineering
Pinoy Jobs,Sales/Process Engineer/Manager.,"Jobs in Engineering, Construction & Electrical","BT Enviro Projects, Inc.",2015-05-20,Pasig City,Full Time,Bachelor's Degree,"We are now have opening for Sales/Process Engineer/Manager. We are in the business of Water and Waste-Water Treatment Engineering. Engineering Degree : Civil, Sanitary, Mechanical, Chemical Environment.Experience : Sales Water Treatment Projects or Related Products, Engineering Products.Interested Applicants, You may contact Ms. Jeana or Mr. KC Chan for an interview.",Confidential,Confidential,Not Specified,Not Specified,Engineering
Pinoy Jobs,"ENGINEERS (civil, architects, electrical or geodetic)","Jobs in Engineering, Construction & Electrical",Huayou Construction Development Phils. Corp.,2015-05-19,Pasig City,Full Time,Bachelor's Degree,"– Graduate of BS Civil Engineering, Architecture, Electrical and Geodetic Engineering.– Preferably 1-4 years of experience specializing in Engineering – Civil/ Construction/ Structural or equivalent experience.– Preferably with high rise building experience.– Professional licensed is an advantage.– With good communication and written skills.– Full-time positions available– Can start immediately.– Project assignment is within Metro Manila only.",negotiable,negotiable,1,4,Engineering
Pinoy Jobs,QMS/IMS OFFICER,"Jobs in Engineering, Construction & Electrical",DMCI POWER CORPORATION,2015-05-18,Makati City,Full Time,Not Specified,"Qualifications:1. A Licensed Mechanical Engineer or its equivalent2. At least 5 years of QMS/IMS experience in a power generation industry.Job Summary:Ensure that International Standard of Operations-ISO (Quality Management Systems,Environmental Management Systems, OSHAS, Intergrated Management Systems) areestablished, adequately maintained and continuous improvements are implementedacross the organization",Negotiable,Negotiable,5,5,Engineering
Pinoy Jobs,Structural Engineer,"Jobs in Engineering, Construction & Electrical",Meinhardt Philippines Inc.,2015-05-15,Makati City,Full Time,Not Specified,"-Has at least 6 months to 1 year experience in Design-Has experience in Aluminum/Steel designing and calculation-Proficient in Microsoft Offices-Proficient in AutoCAD, STAAD-Has pleasing personality-Can handle work loads or pressure well-Can start right away",Not Specified,Not Specified,6,1,Engineering
Pinoy Jobs,Project Manager,"Jobs in Engineering, Construction & Electrical","Calco Industries, Inc.",2015-05-15,Quezon City,Full Time,Not Specified,"Registered Civil EngineerMale/Female, 25-35 years of ageAdept to basic computer applicationsCustomer service orientedMust be smart, pro-active, and goal-orientedPossess excellent communication skillsHas strong planning and organizational skillsQuezon City-based but must be willing to do field worksWork experience related to aluminum and construction industry is requiredWith experience in project management",Not Specified,Not Specified,35,35,Engineering
Pinoy Jobs,Estimator,"Jobs in Engineering, Construction & Electrical","Calco Industries, Inc.",2015-05-15,Quezon City,Full Time,Not Specified,"Registered Civil Engineer/Mechanical EngineerMale/Female, 20-27 years of ageAdept to basic computer applicationsMust be smart, pro-active, and goal-orientedWith good communication skillsBackground/Work Experience related to aluminum industry is requiredKnowledgeable in basic engineering calculationsBasic AutoCAD skills is an advantageQuezon City-based but must be willing to do field works",Not Specified,Not Specified,27,27,Engineering
Pinoy Jobs,Senior Electrical Engineer,"Jobs in Engineering, Construction & Electrical",Meinhardt Philippines Inc.,2015-05-15,Makati City,Full Time,Not Specified,-Registered Electrical Engineer-Project Based/Willing to be assigned in a site in Cebu City(Much preferred if applicant lives in Cebu City)-Has at least 7 years experience in project management-Can start right away,Not Specified,Not Specified,7,7,Engineering
Pinoy Jobs,Project Engineer,"Jobs in Engineering, Construction & Electrical",EIGenTech Corporation,2015-05-14,Quezon City,Full Time,Not Specified,"– Experience in Building Construction– Managing and Supervising Projects– Hardworking, result oriented, and a team player– Willing to be assigned in different site– Licensed Civil Engineer is an advantage– Candidate must posses a Civil Engineering degree or equivalent– At least 3 years experience in related field",Not Specified,Not Specified,3,3,Engineering
Pinoy Jobs,Senior Public Health Design Engineer,"Jobs in Engineering, Construction & Electrical",Cundall,2015-05-13,Qatar,Not Specified,Bachelor's Degree,"The Team:Cundall’s Doha Office pride ourselves on our exemplary track record of designing innovative, sustainable and energy efficient solutions on some of Qatar’s largest and most challenging construction projects. To support our expanding operations in the Middle East, we wish to appoint a talented Senior Electrical Engineer to join our team.The Role:You will be a key part of the delivery team, working closely with colleagues in the Doha office to provide mechanical design services to a range of clients.You will be required to manage your own technical input, as well as that of others, and to demonstrate your understanding of the role that your work plays in the delivery of the project as a whole. You will need an understanding of the financial and commercial considerations that affect project delivery, and be able to provide accurate and relevant reports on progress of the work against time and budgetary targets.In return, we can offer you exciting, challenging work, a friendly and supportive working environment, and real opportunities to develop and progress.The Skills:· Qatar UDPA Grade A or B Mechanical EngineerAnd/or· Degree qualified in Mechanical Engineering (although Building Services degrees will also be considered).· Comprehensive relevant post-graduate industry and design/consultancy experience.· Solid understanding of relevant industry codes and good practice.· Experience in delivering sustainable (green) buildings in accordance with relevant codes / legislation (BREEAM, LEED etc.)· Proven ability to plan and programme work.· Demonstrable understanding of the financial / commercial aspects of construction projects.· Proven experience of managing and developing others.· Excellent written and verbal communication skills.· Chartered Engineer status with the Engineering Council. · Experience with MEP Revit would be advantageous.Cundall are an Equal Opportunities employer, and positively welcome applications from women and ethnic minority groups who are underrepresented in the sector.",$Competitive salary & excellent benefits,$Competitive salary & excellent benefits,Not Specified,Not Specified,Engineering
Pinoy Jobs,Casino CCTV Technician,"Jobs in Engineering, Construction & Electrical",Holiday Palace Casino,2015-05-11,"1 & 2 Kbal Spean Village, Poipet Commune O'Chrov District, Banteay Meanchey Province, Kingdom of Cambodia",Full Time,Not Specified,"Skills:1. Basic electronics troubleshooting and repair.2. Basic electrical wiring and installation.3. Basic computer installation and networking.4. Proficient in Microsoft Office.Job Summary1. Maintains CCTV Cameras, Digital Video Recorder, Console and LAN.2. Install and upgrade CCTV equipment.3. In-charge of other security related equipment.4. Updates table layouts, camera locations blueprints and other CCTV related documents.5. Maintains and upgrades CCTV of CASINO AND HOTELJob SiteCambodia-Thailand Poipet Border",40000,54000,Not Specified,Not Specified,Engineering
Pinoy Jobs,URGENT HIRING CIVIL ENGINEER,"Jobs in Engineering, Construction & Electrical","Ultimate Merit Manpower Services Phils., Inc.",2015-05-11,Naga City,Full Time,Not Specified,Urgent Hiring!Licensed Civil EngineerWith minimum experience of at least three (3) yearsEmail your Resume to *protected email*Call 272 7353 or contact 09351285100Look for Ms. Sheena ,Not Specified,Not Specified,272,7353,Engineering
Pinoy Jobs,Technician (Baguio),"Jobs in Engineering, Construction & Electrical","LTY Group Philippines, Inc.",2015-05-11,Muntinlupa City,Full Time,Bachelor's Degree,"Requirements:– Candidate must possess at least a Vocational Diploma/Bachelor’s/College Degree,(Electrical/Electronic) or equivalent– At least 3 year(s) of working experience in the related field is required for this position– Male– 23 years old and above– With Electrical and Electronics background– Can work with minimum supervision– Part-time/Full-time",Not Specified,Not Specified,23,23,Engineering
Pinoy Jobs,Senior Civil Engineer,"Jobs in Engineering, Construction & Electrical",Huayou Construction Development Phils. Corp.,2015-05-11,Pasig City,Full Time,Bachelor's Degree,– BS Civil Engineering Graduate (Preferably Licensed)– With minimum 3 years of experience in construction or in related field– With good oral and written communication skills,Not Specified,Not Specified,3,3,Engineering
Pinoy Jobs,GIS Specialists,"Jobs in Engineering, Construction & Electrical",DPWH,2015-05-11,Manila City,Full Time,Not Specified,"The Geographic Information System (GIS) specialist is responsible for developing and maintenance of GIS data. The GIS specialists may have the need to contact and interact with application development specialist, data administrators and other members of the technical community to achieve organizational goals. In addition, there is expected initiative for GIS specialist to provide assistance to users of the software ArcGIS for optimization of the utilization of the GIS technology.Responsibilities:•Design and development of GIS applications, web and mobile apps.•Conduct trainings, seminars and workshops for optimization of the usage of GIS technology and Geotagging technology.•Management, collection and maintenance of GIS data.•Coordinate with other offices for improvement and updating of existing GIS data and GIS maps.Qualifications/Skills Required:•Must be a licensed Civil or Geodetic Engineer•At least three (3) years of experience in any of the following:Implementation of GIS for medium to large organizations preferably in a transport or engineering related environmentUse of GIS for asset inventory and conditionInfrastructure project monitoringGIS data management, collection and/or preparationGIS training•Has knowledge in working with the following: Esri ArcMap, Esri ArcGIS Server, Esri ArcGIS On Line App Development, MS SQL Server•Has knowledge in GIS data analysis and data collection; good in data visualization and presentation•Has excellent communication, coordination, analytical and report-writing skills",SG 16-19,SG 16-19,Not Specified,Not Specified,Engineering
Pinoy Jobs,PURCHASING STAFF,"Jobs in Engineering, Construction & Electrical",FR Sevilla Industrial & Development Corporation,2015-05-11,Quezon City,Full Time,Not Specified,– Graduate of any 4 year course– Have at least 1 year experienced in Purchasing– Willing to work in Quezon City,Negotiable,Negotiable,1,1,Engineering
Pinoy Jobs,IT ENGINEER – Single Chip Microcomputer,"Jobs in Engineering, Construction & Electrical",Safe Island Construction Pte Ltd,2015-04-29,"5 Jalan Basong, Sembawang Straits, Sembawang, Singapore 759442",Full Time,Not Specified,Requirement on the IT Engineer in Single-Chip microcomputer1. degree in related specialization ;2. three year post graduate experience;3. have solid experience in single-chip microcomputer development;4. can work alone for both hardware and software;5. can work in Singapore as a full-time engineer;6. the engineer with his or her own research product in single-chip microcomputer will be preferred. ,Not Specified,Not Specified,Requirement,Requirement,Engineering
